X_id,name,genre,id_artist,title,publicationDate,deezerFans,country,dateRelease,language,Artist_name
5714debb25ac0d8aee34d680,A Gun Called Tension,Hip Hop,56d7e9446b60c09814f93ebf,A Gun Called Tension,2005,1,US,2005,eng,A Gun Called Tension
5714debb25ac0d8aee34d798,A Tribe Called Quest,Hip Hop,56d7e9bb6b60c09814f93f50,"Beats, Rhymes And Life",1996,5706,US,1996-07-30,eng,A Tribe Called Quest
5714debb25ac0d8aee34d799,A Tribe Called Quest,Hip Hop,56d7e9bb6b60c09814f93f50,The Love Movement,1998,2607,US,1998-09-29,eng,A Tribe Called Quest
5714debb25ac0d8aee34d79a,A Tribe Called Quest,Hip Hop,56d7e9bb6b60c09814f93f50,The Anthology,1999,3799,US,1999-10-26,eng,A Tribe Called Quest
5714debb25ac0d8aee34d7ee,A$AP Rocky,Hip Hop,56d7e9cc6b60c09814f93f74,Deep Purple,2011,9405,unknown,2011-07-08,unknown,A$AP Rocky
5714debb25ac0d8aee34d7ef,A$AP Rocky,Hip Hop,56d7e9cc6b60c09814f93f74,Live. Love. A$AP,2011,46,XW,2011-10-31,eng,A$AP Rocky
5714debb25ac0d8aee34d7f0,A$AP Rocky,Hip Hop,56d7e9cc6b60c09814f93f74,Long. Live. A$AP,2013,19513,unknown,2013-01-15,unknown,A$AP Rocky
5714debb25ac0d8aee34d86f,A04,Hip Hop,56d7e9ea6b60c09814f93fbb,Kovalla Maalla,2006,unknown,unknown,unknown,unknown,A04
5714debb25ac0d8aee34d894,Aaliyah,R&amp;B,56d7e9f26b60c09814f93fce,Age Ain't Nothing But A Number,1994,10862,US,1994-05-24,eng,Aaliyah
5714debb25ac0d8aee34d895,Aaliyah,R&amp;B,56d7e9f26b60c09814f93fce,One In A Million,1996,unknown,GB,1996,eng,Aaliyah
5714debb25ac0d8aee34d896,Aaliyah,R&amp;B,56d7e9f26b60c09814f93fce,Aaliyah,2001,866,US,2001-07-17,eng,Aaliyah
5714debb25ac0d8aee34d897,Aaliyah,R&amp;B,56d7e9f26b60c09814f93fce,I Care 4 U,2003,3012,unknown,2002-12-10,unknown,Aaliyah
5714debb25ac0d8aee34d898,Aaliyah,R&amp;B,56d7e9f26b60c09814f93fce,Ultimate Aaliyah,2005,unknown,GB,2005-04-04,eng,Aaliyah
5714debb25ac0d8aee34d8fa,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,Orchid In The Storm,1986,44,US,1986-12-01,eng,Aaron Neville
5714debb25ac0d8aee34d8fb,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,Show Me The Way,1989,529,unknown,unknown,unknown,Aaron Neville
5714debb25ac0d8aee34d8fd,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,Greatest Hits,1990,90,US,1990-05-10,eng,Aaron Neville
5714debb25ac0d8aee34d8ff,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,The Grand Tour,1993,160,US,1993-04-20,eng,Aaron Neville
5714debb25ac0d8aee34d900,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,Aaron Neville's Soulful Christmas,1993,71,US,1993-10-05,eng,Aaron Neville
5714debb25ac0d8aee34d901,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,The Tattooed Heart,1995,27,US,1995-04-18,eng,Aaron Neville
5714debb25ac0d8aee34d902,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,Hercules,1995,529,unknown,unknown,unknown,Aaron Neville
5714debb25ac0d8aee34d903,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,To Make Me Who I Am,1997,116,US,1997-10-14,eng,Aaron Neville
5714debb25ac0d8aee34d905,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,Ultimate Collection,2001,44,US,2001-08-21,eng,Aaron Neville
5714debb25ac0d8aee34d906,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,Nature Boy: The Standards Album,2003,306,US,2003-07-01,eng,Aaron Neville
5714debb25ac0d8aee34d907,Aaron Neville,R&amp;B,56d7eac926a8a3040c6869cb,Believe,2003,239,US,2003-01-28,eng,Aaron Neville
5714debb25ac0d8aee34d950,Ab-Soul,Hip Hop,56d7ead626a8a3040c6869e6,These Days...,2014,3839,unknown,2014-06-24,unknown,Ab-Soul
5714debb25ac0d8aee34d9dc,Abd Al Malik,Hip Hop,56d7eaf726a8a3040c686a2a,Gibraltar,2006,10538,unknown,unknown,unknown,Abd Al Malik
5714debb25ac0d8aee34e205,Afrob,Hip Hop,56d7ef8756847be81b3e8c69,Rolle Mit Hip Hop,1999,1290,DE,1999-03-29,deu,Afrob
5714debb25ac0d8aee34e206,Afrob,Hip Hop,56d7ef8756847be81b3e8c69,Made In Germany,2001,793,DE,2001-06-25,deu,Afrob
5714debb25ac0d8aee34e207,Afrob,Hip Hop,56d7ef8756847be81b3e8c69,Hammer,2005,834,DE,2005-02-28,deu,Afrob
5714debb25ac0d8aee34da85,ABK,Underground Hip Hop,56d7eb2e26a8a3040c686a7a,Hatchet Warrior,2003,145,unknown,2003-04-08,unknown,ABK
5714debb25ac0d8aee34da86,ABK,Underground Hip Hop,56d7eb2e26a8a3040c686a7a,Dirty History,2004,120,unknown,unknown,eng,ABK
5714debb25ac0d8aee34da87,ABK,Underground Hip Hop,56d7eb2e26a8a3040c686a7a,Road Fools,2005,unknown,unknown,unknown,unknown,ABK
5714debb25ac0d8aee34e28a,Afu-Ra,Underground Hip Hop,56d7ef9b56847be81b3e8caa,Body Of The Life Force,2000,1834,unknown,2000-10-24,unknown,Afu-Ra
