rank,id,id_album,title,length,publicationDate,language,language_detect,genre,recordLabel,recorded,runtime,award,Album_Name,Artist_name,rankHere,year_publication,Album_Name2
241,5714dec825ac0d8aee3bf070,5714debb25ac0d8aee353cfe,End Of The Road,255,1994-10-20,unknown,english,"list(""Contemporary R&B"")","list(""Motown"", ""Arista Records"", ""LaFace Records"")","list(""Spring 1992, Philadelphia"")","list(""348.0"")",list(),Cooleyhighharmony,Boyz II Men,1,1994,Cooleyhighharmony
833,5714dec625ac0d8aee3a9e9a,5714debb25ac0d8aee351b97,Right Here Waiting,205,2015-12-16,eng,english,"list(""Soft rock"", ""Contemporary R&B"")","list(""EMI Records"", ""Arista Records"")","list(""1988-12-11"", ""1998"")","list(""269.0"", ""264.0"")",list(),The Voice: The Complete Season 9 Collection,Barrett Baber,2,2015,unknown
4454,5714deca25ac0d8aee3d57cd,5714debb25ac0d8aee3560ad,Don't Think They Know,296,0000-00-00,unknown,english,"list(""Contemporary R&B"")","list(""RCA Records"")","list(""20012013"")","list(""241.0"")",list(),X,Chris Brown,3,0000,X
7487,5714decd25ac0d8aee4021a1,5714debb25ac0d8aee35a8b9,Nuthin' But A 'G' Thang,217,2003-01-01,unknown,english,"list(""West Coast hip hop"")","list(""Death Row Records"")","list(""June 1992"")","list(""238.0"")","list(""Platinum"")",The Chronic,Dr. Dre,4,2003,The Chronic
64127,5714deca25ac0d8aee3d37c5,5714debb25ac0d8aee355d68,Saturday Love,390,2012-02-06,unknown,english,"list(""Contemporary R&B"", ""Dance music"", ""Soul music"")","list(""Tabu Records"")","list(""1985"")","list(""291.0"")",list(),High Priority,Cherrelle,5,2012,High Priority
64964,5714decd25ac0d8aee3f8988,5714debb25ac0d8aee35996b,Die Atzen Frauenarzt & Manny Marc:Disco Pogo,204,2010-02-05,unknown,german,"list(""Electronica (Musik)"", ""Hip-Hop"")","list(""Kontor Records"")",list(),"list(""204.0"")",list(),Disco Pogo,Die Atzen,6,2010,Disco Pogo
68299,5714dec525ac0d8aee398e5c,5714debb25ac0d8aee34ff6f,Hallelujah,238,2011-01-01,unknown,english,"list(""Gospel music"", ""Contemporary R&B"", ""Folk music"", ""Alternative rock"", ""Folk rock"")","list(""Syco Music"", ""Universal Records (defunct record label)"", ""Columbia Records"")","list(""2008"", ""Late 1993–94, at Bearsville Studios, Bearsville, New York"", ""June 1984"")","list(""219.0"", ""413.0"", ""276.0"")","list(""Platinum"", ""Gold"")",Saitensprung,Anna Katharina,7,2011,unknown
69154,5714dece25ac0d8aee40fe8d,5714debb25ac0d8aee35bdee,Just Don't Give A Fuck,228,1999-04-12,unknown,english,"list(""Horrorcore"", ""Hardcore hip hop"")","list(""Aftermath Entertainment"", ""Interscope Records"")","list(""1997"")","list(""242.0"")",list(),The Slim Shady EP,Eminem,8,1999,The Slim Shady EP
71691,5714dec325ac0d8aee386e80,5714debb25ac0d8aee34e16d,Just Push Play,194,2002-07-01,eng,english,"list(""Hard rock"", ""Rap rock"")","list(""Columbia Records"")","list(""2001"")","list(""231.0"", ""197.0"")",list(),"O, Yeah! The Ultimate Aerosmith Hits",Aerosmith,9,2002,unknown
83333,5714dec425ac0d8aee393411,5714debb25ac0d8aee34f646,Hotline Bling,188,2016-08-25,unknown,english,"list(""Contemporary R&B"", ""Hip hop soul"")","list(""Cash Money Records"", ""Republic Records"")",list(),"list(""259.0"")",list(),Singles,Amy Vachal,10,2016,unknown
92742,5714dec425ac0d8aee389adb,5714debb25ac0d8aee34e632,Pot Of Gold,274,0000-00-00,unknown,english,"list(""Soul music"", ""Contemporary R&B"", ""Political hip hop"")","list(""Universal Records (defunct record label)"", ""SRC Records"")","list(""2004"")","list(""203.0"")",list(),Trouble,Akon,11,0000,Trouble
97784,5714dec625ac0d8aee3aabdd,5714debb25ac0d8aee351ce2,Please Don't Go (Bad Behaviour Remix),405,2009-09-28,unknown,english,"list(""Soul music"", ""Eurodance"", ""Techno"", ""Contemporary R&B"", ""Electronic dance music"", ""Dance music"", ""Adult contemporary music"")","list(""TK Records"", ""Network Records"", ""Dance Nation (record label)"")","list(""2007"")","list(""198.0"", ""223.0"")",list(),Bass Generation,Basshunter,12,2009,unknown
98198,5714dec725ac0d8aee3b0f27,5714debb25ac0d8aee35270d,Umbrella,176,2009-11-27,eng,english,"list(""Contemporary R&B"", ""Rockabilly"")","list(""Warner Bros. Records"", ""Def Jam Recordings"")","list(""2007"")","list(""275.0"", ""187.0"")","list(""Gold"", ""Platinum"")",Who's Got A Match?,Biffy Clyro,13,2009,unknown
119026,5714decc25ac0d8aee3f25e3,5714debb25ac0d8aee358f3a,Lean On Me,241,2003-08-01,unknown,english,"list(""Hip hop music"", ""Funk"", ""Soul music"", ""New jack swing"", ""Contemporary R&B"")","list(""Warner Bros. Records"", ""Epic Records"")","list(""1986"", ""1998"", ""1972"")","list(""218.0"", ""238.0"", ""225.0"", ""257.0"", ""356.0"")",list(),Her Very Best,Deborah Allen,14,2003,unknown
126025,5714dec425ac0d8aee390101,5714debb25ac0d8aee34f094,Help!,130,2002-07-22,eng,english,"list(""Contemporary R&B"", ""Pop music"", ""Folk rock"")","list(""Capitol Records"", ""London Records"", ""Parlophone"")","list(""1984"", ""London"", ""--04-13"", ""January 1989"", ""Abbey Road Studios"", ""Pye Studios, London"", ""--05-13"")","list(""270.0"", ""138.0"", ""143.0"")",list(),Other Songs,Alma Cogan,15,2002,unknown
126053,5714dec925ac0d8aee3c921c,5714debb25ac0d8aee354cd7,Mariah Carey:Boy (I Need You),197,2003-03-24,eng,english,"list(""Hip hop music"", ""Contemporary R&B"")","list(""Island Records"")",list(),"list(""314.0"")",list(),Songs Featuring Cam'ron,Cam'ron,16,2003,unknown
155775,5714dec825ac0d8aee3c364b,5714debb25ac0d8aee354419,B.o.B:Nothin' On You,217,2011-08-24,unknown,english,"list(""Pop-rap"", ""Contemporary R&B"")","list(""Grand Hustle Records"", ""Atlantic Records"")","list(""2009"")","list(""269.0"", ""217.0"")","list(""Gold"", ""N/A"", ""Platinum"")",Songs Featuring Bruno Mars,Bruno Mars,17,2011,unknown
175177,5714dec725ac0d8aee3b168f,5714debb25ac0d8aee3527d5,I Want To Know What Love Is,185,2011-08-09,eng,english,"list(""Pop rock"", ""Contemporary R&B"", ""Country pop"", ""Gospel music"", ""Soft rock"")","list(""Curb Records"", ""Island Records"", ""Atlantic Records"", ""Columbia Records"", ""Asylum Records"")","list(""July 1984"")","list(""207.0"", ""12.0"", ""255.0"", ""381.0"", ""7.0"", ""295.0"", ""281.0"", ""218.0"")","list(""Platinum"")",Meanwhile...Back In The States,Big Daddy,18,2011,unknown
178665,5714dec725ac0d8aee3b1693,5714debb25ac0d8aee3527d5,I Just Called To Say I Love You,193,2011-08-09,eng,english,"list(""Synthpop"", ""Soul music"", ""Contemporary R&B"")","list(""Motown"")",list(),"list(""256.0"", ""376.0"", ""404.0"")","list(""Platinum"", ""Gold"")",Meanwhile...Back In The States,Big Daddy,19,2011,unknown
179091,5714dec825ac0d8aee3c6134,5714debb25ac0d8aee354843,Patti LaBelle:On My Own,291,2009-07-14,unknown,english,"list(""Pop music"", ""Country music"", ""Contemporary R&B"")","list(""MCA Inc."", ""Universal Music Group Nashville"")","list(""1985"")","list(""240.0"", ""274.0"")",list(),The Look Of Love - The Burt Bacharach Collection - US Edition,Burt Bacharach,20,2009,unknown
182602,5714decd25ac0d8aee3fc489,5714debb25ac0d8aee359f36,Divine:Lately,260,2005-06-21,unknown,english,"list(""Pop music"", ""Contemporary R&B"")","list(""Polydor Records"")","list(""1998"", ""2000"")","list(""310.0"", ""258.0"")","list(""Platinum"")",Fairy Tales,Divine (US),21,2005,unknown
186880,5714decb25ac0d8aee3e9eb1,5714debb25ac0d8aee358182,Wonderful Tonight,214,2013-01-28,unknown,english,"list(""Contemporary R&B"", ""Country music"", ""Soft rock"")","list(""Big Life"", ""RSO Records"", ""Curb Records"")","list(""May 1977"")","list(""223.0"", ""241.0"")","list(""Million"", ""Silver"", ""Platinum"", ""Gold"")",The Jukebox Years,Daniel O'Donnell,22,2013,unknown
203169,5714dec625ac0d8aee3aaa61,5714debb25ac0d8aee351cbe,Sorry Seems To Be The Hardest Word,246,2007-09-10,unknown,english,"list(""Contemporary R&B"", ""Pop music"", ""Soft rock"")","list(""The Rocket Record Company"", ""MCA Records"", ""Universal Records (defunct record label)"")","list(""Eastern Sound, Toronto, Ontario, Canada, March 1976"")","list(""221.0"", ""228.0"", ""197.4"")","list(""Gold"", ""Silver"")",The Greatest Songs Of The Seventies,Barry Manilow,24,2007,unknown
217920,5714dec425ac0d8aee3926b8,5714debb25ac0d8aee34f4b2,Why Don't We Fall In Love,210,2010-08-17,eng,english,"list(""Contemporary R&B"")","list(""Columbia Records"")","list(""September 2001"")","list(""159.0"")",list(),All I Have,Amerie,25,2010,All I Have
227954,5714deca25ac0d8aee3ddb04,5714debb25ac0d8aee356dbb,I Adore Mi Amor,228,2014-11-25,unknown,english,"list(""Contemporary R&B"")","list(""Warner Bros. Records"", ""Giant Records (Warner)"", ""Reprise Records"")",list(),"list(""289.0"")",list(),C.M.B.,Color Me Badd,26,2014,unknown
242314,5714deca25ac0d8aee3ddcd8,5714debb25ac0d8aee356df9,Dirt Road Anthem,282,2015-02-20,unknown,english,"list(""Country music"", ""Country rap"")","list(""Broken Bow Records"")",list(),"list(""230.0"")","list(""Platinum"")",Ride Through The Country,Colt Ford,27,2015,unknown
243630,5714dec425ac0d8aee395d69,5714debb25ac0d8aee34fa79,Lloyd:Dedication To My Ex (Miss That),238,2015-02-06,unknown,english,"list(""Contemporary R&B"", ""Hip hop music"")","list(""Interscope Records"", ""Zone 4 (record label)"")","list(""2010"")","list(""236.0"")",list(),Misc. Songs,André 3000,28,2015,unknown
